,action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
10,5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",78.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2015,17.04,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,111.0,Yellowstone County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,13740.0,Billings - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,7162800002,22229,30,MT,Montana,66800.0,56,1850.0,1442.0,10.100000381469727,4395.0,,92.62999725341795
11,2,Application approved but not accepted,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,232.0,5,,,,,White,,,,,1,Male,0,2015,5.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,49.0,Lewis and Clark County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,849104,30,MT,Montana,60000.0,204,2378.0,1844.0,6.78000020980835,5898.0,,115.37999725341795
12,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,108.0,5,,,,,White,,,,,1,Male,0,2015,2.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,63.0,Missoula County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,33540.0,Missoula - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",0000030788,2191,30,MT,Montana,69800.0,165,3638.0,3083.0,8.310000419616701,10739.0,,107.05999755859376
13,5,File closed for incompleteness,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,93.0,5,,,,,White,,,,,1,Male,0,2015,9.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,63.0,Missoula County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,33540.0,Missoula - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0002590037,2097,30,MT,Montana,69800.0,276,2368.0,1289.0,7.9000000953674325,5735.0,,93.23999786376952
14,3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,63.0,5,,,,,White,,,,,1,Male,0,2015,13.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,63.0,Missoula County,1.0,5.0,,Debt-to-income ratio,"Insufficient cash (downpayment, closing costs)",,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,33540.0,Missoula - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,302078,30,MT,Montana,69800.0,264,2248.0,1770.0,7.320000171661378,6241.0,,138.67999267578122
15,3,Application denied by financial institution,3,FDIC,Federal Deposit Insurance Corporation,3,"Information not provided by applicant in mail, Internet, or telephone application",49.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,0,2015,4.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,53.0,Lincoln County,1.0,,,Debt-to-income ratio,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000030788,545,30,MT,Montana,60000.0,117,3184.0,2156.0,6.059999942779541,6221.0,,84.7300033569336
16,6,Loan purchased by the institution,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,108.0,5,,,,,White,,,,,1,Male,2,2015,19.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,111.0,Yellowstone County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,13740.0,Billings - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000706809,18525,30,MT,Montana,66800.0,283,1899.0,1470.0,5.989999771118164,4725.0,,92.77999877929688
17,4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,41.0,5,,,,,White,,,,,1,Male,0,2015,9664.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,95.0,Stillwater County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,75-2921540,143076,30,MT,Montana,60000.0,103,1709.0,1196.0,5.53000020980835,3797.0,,133.77999877929688
18,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,99.0,5,,,,,White,,,,,1,Male,0,2015,14.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,111.0,Yellowstone County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,13740.0,Billings - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,1156239,30,MT,Montana,66800.0,13,3385.0,2734.0,6.559999942779541,9227.0,,117.8000030517578
19,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,125.0,5,,,,,White,,,,,1,Male,0,2015,17.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,29.0,Flathead County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,307263,30,MT,Montana,60000.0,219,3747.0,2340.0,4.300000190734863,8115.0,,95.91000366210938
20,2,Application approved but not accepted,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,,5,,,,,White,,,,,1,Male,0,2015,2.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,81.0,Ravalli County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,4,FSA/RHS-guaranteed,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000030788,1885,30,MT,Montana,60000.0,168,1602.0,1040.0,6.380000114440918,3529.0,,94.4499969482422
21,2,Application approved but not accepted,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,68.0,5,,,,,White,,,,,1,Male,0,2015,3.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,21.0,Dawson County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000504713,88823,30,MT,Montana,60000.0,66,1957.0,1367.0,6.75,4920.0,,118.20999908447266
22,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,237.0,5,,,,,White,,,,,1,Male,0,2015,4.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,81.0,Ravalli County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000852218,89520,30,MT,Montana,60000.0,342,2439.0,1672.0,7.190000057220459,5423.0,,87.80999755859375
23,5,File closed for incompleteness,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,76.0,5,,,,,White,,,,,2,Female,0,2015,9406.0,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,105.0,Valley County,,,,,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,1156276,30,MT,Montana,60000.0,50,2307.0,953.0,22.53000068664551,3063.0,,111.8499984741211
24,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,81.0,5,,,,,White,,,,,1,Male,0,2015,703.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,83.0,Richland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,312321,30,MT,Montana,60000.0,241,1360.0,976.0,6.920000076293945,3929.0,,115.61000061035156
25,3,Application denied by financial institution,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,75.0,5,,,,,White,,,,,1,Male,0,2015,17.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,29.0,Flathead County,4.0,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000030788,162,30,MT,Montana,60000.0,223,3747.0,2340.0,4.300000190734863,8115.0,,95.91000366210938
26,6,Loan purchased by the institution,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,47.0,5,,,,,White,,,,,2,Female,2,2015,19.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,111.0,Yellowstone County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,13740.0,Billings - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000706809,12761,30,MT,Montana,66800.0,170,1347.0,1037.0,6.809999942779541,3819.0,,107.12999725341795
27,4,Application withdrawn by applicant,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,43.0,2,,,,,Asian,,,,,2,Female,0,2015,10.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,111.0,Yellowstone County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,13740.0,Billings - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000659855,8154,30,MT,Montana,66800.0,118,2153.0,1330.0,16.889999389648438,4772.0,,69.26000213623047
28,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,27.0,5,,,,,White,,,,,1,Male,0,2015,5.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,111.0,Yellowstone County,,,,,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,13740.0,Billings - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,1156505,30,MT,Montana,66800.0,4,1935.0,1240.0,10.859999656677246,4116.0,,85.45999908447266
29,3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,63.0,1,5.0,,,,American Indian or Alaska Native,White,,,,1,Male,0,2015,2.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,63.0,Missoula County,3.0,1.0,5.0,Credit history,Debt-to-income ratio,"Insufficient cash (downpayment, closing costs)",6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,33540.0,Missoula - MT,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,70735,30,MT,Montana,69800.0,278,3638.0,3083.0,8.310000419616701,10739.0,,107.05999755859376
30,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,75.0,5,,,,,White,,,,,1,Male,0,2015,7.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,29.0,Flathead County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000030788,142,30,MT,Montana,60000.0,136,2547.0,1738.0,6.550000190734862,5790.0,,73.93000030517578
31,6,Loan purchased by the institution,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,119.0,5,,,,,White,,,,,1,Male,2,2015,9666.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,95.0,Stillwater County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000706809,12381,30,MT,Montana,60000.0,251,1373.0,969.0,4.070000171661377,3098.0,,112.4499969482422
32,1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,128.0,5,,,,,White,,,,,1,Male,0,2015,1.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,29.0,Flathead County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",0000068647,175,30,MT,Montana,60000.0,98,2890.0,841.0,6.210000038146973,3255.0,1.68,71.31999969482422
33,6,Loan purchased by the institution,5,NCUA,National Credit Union Administration,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2015,17.0,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,29.0,Flathead County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),31-1690008,228,30,MT,Montana,60000.0,221,3747.0,2340.0,4.300000190734863,8115.0,,95.91000366210938
34,3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,49.0,5,,,,,White,,,,,1,Male,0,2015,2.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,7.0,Broadwater County,1.0,3.0,,Debt-to-income ratio,Credit history,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,316192,30,MT,Montana,60000.0,308,1281.0,869.0,4.869999885559082,3535.0,,87.55999755859375
35,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,99.0,5,,,,,White,,,,,2,Female,0,2015,18.01,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,111.0,Yellowstone County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,13740.0,Billings - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",0000030788,3056,30,MT,Montana,66800.0,300,1690.0,1536.0,6.0,5321.0,,206.72999572753903
36,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,70.0,5,,,,,White,,,,,1,Male,0,2015,5.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,31.0,Gallatin County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,850731,30,MT,Montana,60000.0,141,3083.0,1811.0,6.829999923706055,8858.0,,114.26000213623048
37,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,67.0,5,,,,,White,,,,,1,Male,0,2015,12.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,49.0,Lewis and Clark County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,794393,30,MT,Montana,60000.0,173,2492.0,1952.0,8.90999984741211,6709.0,,117.52999877929688
38,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,203.0,5,,,,,White,,,,,1,Male,0,2015,5.03,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,31.0,Gallatin County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,156543,30,MT,Montana,60000.0,221,3083.0,1811.0,6.829999923706055,8858.0,,114.26000213623048
39,5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,58.0,5,,,,,White,,,,,1,Male,0,2015,7.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,29.0,Flathead County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,7162800002,16090,30,MT,Montana,60000.0,75,2547.0,1738.0,6.550000190734862,5790.0,,73.93000030517578
40,5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,77.0,5,,,,,White,,,,,1,Male,0,2015,2.01,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,29.0,Flathead County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,7162800002,31254,30,MT,Montana,60000.0,47,2033.0,1124.0,6.300000190734862,4543.0,,92.0199966430664
